rider_name,owner,add_date,drop_date,is_replacement,replaces_rider
Paul Seixas,Daniel,2026-06-05,,False,
Matteo Jorgenson,Daniel,2026-06-05,,False,
Oscar Onley,Daniel,2026-06-05,,False,
Kévin Vauquelin,Daniel,2026-06-05,,False,
Wout van Aert,Daniel,2026-06-05,,False,
Mattias Skjelmose,Daniel,2026-06-05,,False,
Ben Healy,Daniel,2026-06-05,,False,
Jørgen Nordhagen,Daniel,2026-06-05,,False,
Luke Plapp,Daniel,2026-06-05,,False,
Valentin Paret-Peintre,Daniel,2026-06-05,,False,
Benoît Cosnefroy,Daniel,2026-06-05,,False,
Lorenzo Fortunato,Daniel,2026-06-05,,False,
Harold Tejada,Daniel,2026-06-05,,False,
Luke Tuckwell,Daniel,2026-06-05,,False,
Léo Bisiaux,Daniel,2026-06-05,,False,
Jefferson Cepeda,Daniel,2026-06-05,2026-06-11,False,
Iván Romeo,Daniel,2026-06-05,2026-06-11,False,
Pablo Castrillo,Daniel,2026-06-05,,False,
Junior Lecerf,Daniel,2026-06-05,,False,
Brady Gilmore,Daniel,2026-06-05,2026-06-08,False,
Ben Tulett,Daniel,2026-06-08,,True,Brady Gilmore
Harold Tejada,Daniel,2026-06-11,,True,Jefferson Cepeda
Maxim Van Gils,Daniel,2026-06-11,,True,Iván Romeo
Isaac del Toro,Tanner,2026-06-05,,False,
Juan Ayuso,Tanner,2026-06-05,,False,
Tobias Halland Johannessen,Tanner,2026-06-05,,False,
João Almeida,Tanner,2026-06-05,,False,
Dorian Godon,Tanner,2026-06-05,,False,
Cian Utejbrookes,Tanner,2026-06-05,,False,
Matthew Riccitello,Tanner,2026-06-05,2026-06-08,False,
Daniel Martínez,Tanner,2026-06-05,,False,
Carlos Rodríguez,Tanner,2026-06-05,,False,
Finn Fisher-Black,Tanner,2026-06-05,,False,
Phil Bauhaus,Tanner,2026-06-05,,False,
Bryan Coquard,Tanner,2026-06-05,,False,
Santiago Buitrago,Tanner,2026-06-05,,False,
Matteo Trentin,Tanner,2026-06-05,,False,
Georg Steinhauser,Tanner,2026-06-05,,False,
Michael Matthews,Tanner,2026-06-05,,False,
Per Strand Hagenes,Tanner,2026-06-05,,False,
Sam Watson,Tanner,2026-06-05,,False,
Jordan Jegat,Tanner,2026-06-05,,False,
Pello Bilbao,Tanner,2026-06-05,,False,
Alex Baudin,Tanner,2026-06-08,,True,Matthew Riccitello
